                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92216,                0.82429,                 1.1832,                0.93345,                0.96727,                0.98155,                0.60273,                  1.273,                0.99184,                 1.5385,               0.067863,             0.00099394,             0.00099394
                      2,                0.91684,                0.64235,                 1.1737,                 0.9914,                0.99327,                  0.995,                0.77943,                0.90258,                0.57683,                 1.4081,                0.03549,              0.0019545,              0.0019545
                      3,                0.91333,                0.59437,                 1.1697,                0.99134,                0.98682,                0.99466,                0.79263,                0.87333,                0.64915,                 1.3323,              0.0030774,              0.0028754,              0.0028754
                      4,                0.87544,                 0.5583,                 1.1565,                0.99817,                0.97414,                0.99051,                0.81166,                0.79363,                0.52926,                 1.1801,              0.0028218,              0.0028218,              0.0028218
                      5,                0.85779,                0.52815,                 1.1429,                0.99859,                0.98276,                0.99458,                0.81212,                0.80345,                0.49074,                 1.2127,              0.0028218,              0.0028218,              0.0028218
                      6,                 0.8412,                0.50976,                  1.124,                0.99081,                0.98276,                0.99483,                0.80403,                0.86016,                0.47879,                 1.3303,              0.0027624,              0.0027624,              0.0027624
                      7,                 0.8462,                0.49636,                 1.1233,                0.99091,                      1,                0.99286,                0.82155,                0.78388,                0.38929,                 1.1834,               0.002703,               0.002703,               0.002703
                      8,                 0.8198,                0.48483,                 1.1138,                0.99956,                      1,                  0.995,                0.82968,                0.76072,                0.43684,                 1.1853,              0.0026436,              0.0026436,              0.0026436
                      9,                0.81948,                0.48398,                 1.1148,                0.99786,                      1,                  0.995,                 0.8482,                 0.7159,                0.42784,                 1.1597,              0.0025842,              0.0025842,              0.0025842
                     10,                0.80165,                0.47263,                 1.0998,                 0.9822,                      1,                0.99147,                0.82097,                0.73253,                0.37828,                 1.1378,              0.0025248,              0.0025248,              0.0025248
                     11,                0.79379,                0.46558,                 1.1055,                0.99891,                      1,                  0.995,                0.81373,                0.79279,                0.39301,                 1.1545,              0.0024654,              0.0024654,              0.0024654
                     12,                0.79158,                0.46611,                 1.1108,                0.99935,                      1,                  0.995,                0.83258,                0.74511,                0.41085,                 1.1557,               0.002406,               0.002406,               0.002406
                     13,                0.78746,                0.45774,                 1.1061,                0.99883,                      1,                  0.995,                0.78683,                0.87696,                0.38145,                 1.2044,              0.0023466,              0.0023466,              0.0023466
                     14,                0.78721,                 0.4455,                 1.0953,                0.99823,                0.98276,                0.99483,                 0.8237,                0.81598,                0.38423,                 1.1792,              0.0022872,              0.0022872,              0.0022872
                     15,                0.75656,                0.44417,                 1.0859,                0.99893,                      1,                  0.995,                0.82447,                0.79987,                0.40306,                 1.2402,              0.0022278,              0.0022278,              0.0022278
                     16,                0.76799,                0.43614,                 1.0899,                0.99967,                      1,                  0.995,                0.82678,                0.75012,                0.35923,                    1.2,              0.0021684,              0.0021684,              0.0021684
                     17,                0.74126,                0.42511,                 1.0786,                0.99945,                      1,                  0.995,                0.84624,                0.73559,                0.33633,                 1.1622,               0.002109,               0.002109,               0.002109
                     18,                0.72777,                0.40164,                 1.0714,                0.99733,                0.98276,                0.99483,                0.82256,                0.78264,                0.38958,                 1.1758,              0.0020496,              0.0020496,              0.0020496
                     19,                0.73731,                 0.4082,                 1.0752,                 0.9995,                      1,                  0.995,                0.83255,                0.72363,                0.36553,                 1.1381,              0.0019902,              0.0019902,              0.0019902
                     20,                0.73599,                0.40284,                 1.0703,                      1,                0.98609,                  0.995,                 0.8293,                0.75375,                0.42522,                  1.167,              0.0019308,              0.0019308,              0.0019308
                     21,                0.71389,                0.39284,                 1.0631,                0.99957,                      1,                  0.995,                0.83941,                0.75204,                0.34215,                 1.1704,              0.0018714,              0.0018714,              0.0018714
                     22,                0.72439,                0.40241,                 1.0661,                0.99958,                      1,                  0.995,                0.84791,                0.69673,                 0.3249,                 1.1526,               0.001812,               0.001812,               0.001812
                     23,                0.72324,                0.38945,                 1.0692,                0.99987,                      1,                  0.995,                0.83973,                0.70624,                0.34133,                 1.1198,              0.0017526,              0.0017526,              0.0017526
                     24,                0.71317,                0.39024,                 1.0587,                0.99122,                      1,                  0.995,                0.83996,                0.71352,                0.34955,                 1.1366,              0.0016932,              0.0016932,              0.0016932
